Vitality (Holo) | Paris 2023,
FURIA (Holo) | Paris 2023,
Natus Vincere (Holo) | Paris 2023,
Heroic (Holo) | Paris 2023,
9INE (Holo) | Paris 2023,
Into The Breach (Holo) | Paris 2023,
Fnatic (Holo) | Paris 2023,
Bad News Eagles (Holo) | Paris 2023,
G2 Esports (Holo) | Paris 2023,
Apeks (Holo) | Paris 2023,
Monte (Holo) | Paris 2023,
GamerLegion (Holo) | Paris 2023,
paiN Gaming (Holo) | Paris 2023,
OG (Holo) | Paris 2023,
forZe eSports (Holo) | Paris 2023,
Ninjas in Pyjamas (Holo) | Paris 2023,
MOUZ (Holo) | Paris 2023,
FaZe Clan (Holo) | Paris 2023,
Complexity Gaming (Holo) | Paris 2023,
Team Liquid (Holo) | Paris 2023,
Fluxo (Holo) | Paris 2023,
The MongolZ (Holo) | Paris 2023,
Grayhound Gaming (Holo) | Paris 2023,
ENCE (Holo) | Paris 2023,
m0NESY (Holo) | Paris 2023,
ZywOo (Holo) | Paris 2023,
ropz (Holo) | Paris 2023,
dexter (Holo) | Paris 2023,
s1mple (Holo) | Paris 2023,
NiKo (Holo) | Paris 2023,
iM (Holo) | Paris 2023,
cadiaN (Holo) | Paris 2023,
BOROS (Holo) | Paris 2023,
JDC (Holo) | Paris 2023,
v$m (Holo) | Paris 2023,
sdy (Holo) | Paris 2023,
floppy (Holo) | Paris 2023,
WOOD7 (Holo) | Paris 2023,
sk0R (Holo) | Paris 2023,
JT (Holo) | Paris 2023,
arT (Holo) | Paris 2023,
hades (Holo) | Paris 2023,
siuhy (Holo) | Paris 2023,
Krad (Holo) | Paris 2023,
yuurih (Holo) | Paris 2023,
Lucaozy (Holo) | Paris 2023,
Cypher (Holo) | Paris 2023,
Sico (Holo) | Paris 2023,
aliStair (Holo) | Paris 2023,
isak (Holo) | Paris 2023